Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid,taxa_atendimentos_dengue,taxa_atendimentos_saude,taxa_unidades_saude,preds
GUABIROTUBA,43.18,0.840502573946427,0.7120670098595236,68.88,2488.2,1500.0,0.1322568747997426,0.0052351452752813,0.3058197364976878,0.0043626210627344,0.3474391414361749,0.0,0.328071569154615
GUAÍRA,64.48,0.7811996779388084,0.7163848631239935,44.51,1696.24,1021.0,0.0923716455174582,0.0047638217928073,0.3874127750939345,0.0026838432635534,0.0,0.0001341921631776,0.38741277509393496
HAUER,33.37,0.8413819001126549,0.7285767930904994,58.23,1869.35,1200.0,0.1111073686151794,0.0070597070972587,0.4648141194141945,0.0088621855050694,0.6485167104769057,0.0003004130679684,0.4648141194141935
HUGO LANGE,28.64,0.9295400943396226,0.6933962264150944,119.41,4391.36,2500.0,0.229618139629805,0.0058962264150943,0.3018867924528302,0.0008844339622641,0.0828419811320754,0.0,0.3018867924528302
JARDIM BOTÂNICO,22.39,0.8067077122488658,0.7193778353856124,101.86,2492.19,1500.0,0.2228755797826943,0.0074530136098509,0.3026571613739469,0.0056707712248865,0.0,0.0003240440699935,0.302657161373947
JARDIM DAS AMÉRICAS,39.68,0.8566577417880232,0.7366290080323907,71.91,3062.9,2000.0,0.131237354274037,0.0048324952654607,0.2651341996996016,0.0027427675830993,0.0,0.0001959119702213,0.2651341996996021
JARDIM SOCIAL,29.1,0.933836433836434,0.6783081783081784,136.52,4779.28,3000.0,0.2332526061647563,0.0035100035100035,0.3181818181818182,0.0035100035100035,0.1363636363636363,0.0003510003510003,0.3613688320640632
JUVEVÊ,94.0,0.9247107580728716,0.732602313935417,122.81,4445.87,3000.0,0.1431860310382446,0.005784838542566,0.2881194957692972,0.002158521844241,0.0,8.634087376964255e-05,0.2881194957692976
LAMENHA PEQUENA,3.01,0.7471590909090909,0.6770833333333334,25.83,1102.01,800.0,0.6027278588935499,0.0018939393939393,0.2301136363636363,0.0047348484848484,0.6723484848484849,0.0,0.2301136363636366
LINDÓIA,72.63,0.7741146318732526,0.7192451071761417,39.87,1390.58,1000.0,0.0814246224161267,0.0054753028890959,0.4255591798695247,0.0033783783783783,0.0,0.0001164958061509,0.4255591798695241
MERCÊS,35.92,0.9112884481289224,0.721623925001937,113.36,3037.18,1800.0,0.3165520218006141,0.0039513442318121,0.3405128999767568,0.0032540481909041,0.0,0.0006198187030293,0.3199625241864009
MOSSUNGUÊ,28.72,0.8947640728476821,0.7438948675496688,24.75,5039.38,2500.0,0.3964805174923272,0.0041390728476821,0.4800289735099338,0.0028973509933774,0.0,0.0,0.4800289735099332
NOVO MUNDO,74.07,0.8184644713251481,0.7343349295327145,41.6,1726.69,1100.0,0.0800562216857642,0.0062864534870526,0.3953657263463677,0.0054013571477203,0.7031523046546989,0.0001815582234527,0.3953657263463676
ORLEANS,15.82,0.8322023442319556,0.7232572486119679,38.97,1941.71,1150.0,0.3966072985792948,0.0033312769895126,0.310919185687847,0.0037014188772362,0.6869833436150524,0.0001233806292412,0.3109191856878473
PAROLIN,51.16,0.711874675437078,0.6731002250302925,38.1,1734.0,1000.0,0.0747079541218781,0.0043275056257573,0.2569672840574692,0.0031158040505452,0.7430327159425307,0.0,0.2569672840574695
PILARZINHO,40.09,0.7945926966292135,0.7213483146067415,41.71,1839.08,1000.0,0.3315542507923458,0.0050561797752808,0.3583567415730337,0.0034058988764044,0.6497542134831461,7.02247191011236e-05,0.3583567415730331
PINHEIRINHO,47.94,0.7602825340767049,0.719707942302732,23.91,1251.29,900.0,0.1763121638562106,0.0056546497093311,0.3803892779905161,0.0058728993472351,0.8267891510089086,0.0001388861332116,0.3803892779905167
PORTÃO,72.82,0.8710796493366462,0.7506914818808307,60.23,2575.5,1750.0,0.1233864535864789,0.0039848108386854,0.3303408185270264,0.0027893675870798,0.0,7.032019127092026e-05,0.3303408185270269
PRADO VELHO,24.97,0.58630903406286,0.6908013822609841,35.67,1065.29,700.0,0.1531269717381369,0.0032910975810432,0.3159453677801547,0.0126707256870166,0.967747243705776,0.0003291097581043,0.31594536778015514
REBOUÇAS,50.19,0.8449086512627619,0.7753895754970446,116.3,2831.12,1800.0,0.1064949784079331,0.0055749596990865,0.4300107469102633,0.0065824825362708,0.0,0.0002015045674368,0.4300107469102629
RIVIERA,1.19,0.7197231833910035,0.7301038062283737,34.48,1170.29,800.0,0.5520922603787444,0.0034602076124567,0.3217993079584775,0.0069204152249134,0.7993079584775087,0.0,0.32179930795847794
SANTA CÂNDIDA,32.19,0.7733174835405998,0.726072909046574,29.72,1471.8,1000.0,0.3817417653981191,0.0061265544989027,0.4573884418434528,0.0085954645208485,0.0,9.1441111923921e-05,0.4573884418434535
