areasVerdesM2,popHabPHa,popTotal,popHomens,popBrancos,porcentagem_brancos,pop15a64,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,area,area_verde,porcentagem_cobertura
614445.39,22.39,6172,2823,4979,0.8067077122488658,4440,0.7193778353856124,101.86,2492.19,1500.0,2756898.672340369,614445.39,0.22287557978269434
506449.34,39.68,15313,7382,13118,0.8566577417880232,11280,0.7366290080323907,71.91,3062.9,2000.0,3859033.449748477,506449.34,0.131237354274037
456807.01,29.1,5698,2596,5321,0.9338364338364339,3865,0.6783081783081784,136.52,4779.28,3000.0,1958421.8908033874,456807.01,0.23325260616475638
176419.83,94.0,11582,5074,10710,0.9247107580728717,8485,0.732602313935417,122.81,4445.87,3000.0,1232102.2429407146,176419.83,0.14318603103824462
2117105.93,3.01,1056,519,789,0.7471590909090909,715,0.6770833333333334,25.83,1102.01,800.0,3512540.3592368383,2117105.93,0.6027278588935499
96226.46,72.63,8584,4101,6645,0.7741146318732526,6174,0.7192451071761417,39.87,1390.58,1000.0,1181785.7687841319,96226.46,0.08142462241612675
1137499.27,35.92,12907,5826,11762,0.9112884481289223,9314,0.721623925001937,113.36,3037.18,1800.0,3593403.900975473,1137499.27,0.31655202180061415
1334331.32,28.72,9664,4632,8647,0.8947640728476821,7189,0.7438948675496688,24.75,5039.38,2500.0,3365439.816411212,1334331.32,0.3964805174923272
476241.82,74.07,44063,21031,36064,0.8184644713251481,32357,0.7343349295327145,41.6,1726.69,1100.0,5948842.07587686,476241.82,0.08005622168576428
2031575.9,15.82,8105,3936,6745,0.8322023442319556,5862,0.7232572486119679,38.97,1941.71,1150.0,5122386.570487738,2031575.9,0.3966072985792948
168714.55,51.16,11554,5559,8225,0.711874675437078,7777,0.6731002250302925,38.1,1734.0,1000.0,2258321.1116283555,168714.55,0.07470795412187813
2355518.25,40.09,28480,13564,22630,0.7945926966292135,20544,0.7213483146067415,41.71,1839.08,1000.0,7104473.082069678,2355518.25,0.3315542507923458
